PROV13;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;x
PROV35;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;x
PROV64;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;x
PROV162;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;x
PROV269;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;x
PROV317;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;x
PROV329;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;x
PROV336;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;x
PROV337;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;x
PROV339;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;x
PROV343;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;x
PROV347;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;x
PROV349;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;x
PROV356;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;x
PROV393;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;x
PROV451;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;x
PROV454;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;x
PROV467;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;x
PROV474;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;x
PROV493;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;x
PROV517;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;x
PROV552;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;x
PROV575;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;x
PROV577;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;x
